text,label
How should I be human resource office,4
Where can I find medical room,23
Où se trouve session Room 3 ?,6
How should I be maintenance chief office,20
Show me the way to Plant Director bureau,16
Where can I find medical room,23
Je cherche industrial operations,11
How should I be sales office,17
Where can I find Secretary to the Plant Manager,19
Can you direct me to human resource office?,4
Njyanye kuri plant manager secretary,19
Where can I find Plant Manager Office,18
Ndashaka guhura n'umuyobozi wa maintenance coordinator ibiro,21
Emmenez-moi au operational block,10
I have a meeting at plant director office,16
administrative block,9
Where can I find industrial operations,11
How should I be finance manager,5
Where can I find administrative block,9
Where can I find restroom,8
How should I be manager office,18
Where is restroom?,14
Where can I find Restaurant,13
Mushobora kunyereka board room?,6
Where can I find Block A,9
I have meeting a at admin corridor,3
Where can I find secretary to the plant manager,19
Finance Office 201 iri he?,5
Where can I find administrative block,9
managing bureau director s'il vous plaît,15
How should I be stock office,22
Where can I find plant manager office,18
I want to go to the waiting area,2
Je cherche aid first office,23
How should I be main corridor,1
Where can I find Meeting Room 3,6
Where can I find General Offices,24
Plant Director Office s'il vous plaît,16
How do I get to finance office?,5
How should I be meeting room 3,6
Where can I find main corridor,1
How should I be first aid office,23
Nshaka gusura hr office,4
Where can I find restricted zone,7
I want to go to the manager office,18
Je cherche bathroom please,14
Where can I find industrial operations,11
How should I be sales office,17
How should I be bathroom,8
How should I be maintenance supervisor office,25
Where can I find restaurant,13
Where can I find General Offices,24
How should I be supervisor office,25
Where can I find warehouse,12
How should I be customer service block,9
Where can I find corridor b,3
How should I be inventory office,22
Please take me to Waiting Area,2
Je cherche Storage salle B,7
Where can I find Meeting Room 3,6
Where can I find general office,24
Where can I find industry area,11
Where can I find maintenance coordination,21
hr office iri he?,4
How should I be corridor b,3
How should I be chief of maintenance office,20
Where can I find maintenance coordination,21
Emmenez-moi maintenance au coordination,21
Je dois rencontrer Secretary to the Plant Manager,19
Nereke inzira yerekeza kuri restroom murakoze,14
Show me the way to general ibiro,24
Où se trouve lounge ?,2
Where can I find Bathroom,8
Where can I find restaurant,13
I am to here visit chief of maintenance bureau,20
Ndashaka guhura n'umuyobozi wa clinic,23
How should I be toilets,14
maintenance chief office please,20
Nereke inzira yerekeza kuri corridor b thanks,3
How should I be plant manager office,18
m'indiquer Pouvez-vous first aid bureau ?,23
Where can I find toilet,8
How should I be reception desk,0
Ni hehe habarirwa md bureau,15
Je main cherche corridor,1
How should I be server room,7
How should I be human resource office,4
How should I be Maintenance Coordinator Office,21
Where can I find toilets,14
Where can I find support offices block,10
Where can I find General Offices,24
How should I be finance office,5
Where can I find Restaurant,13
Comment aller Restaurant au ?,13
How should I be maintenance coordinator office,21
Where can I find bathroom,14
Stock / Warehouse Area,12
Montrez-moi le chemin vers technical supervision,11
Stock Office please,22
md office iri he?,15
How do I get to first aid office?,23
Je suis ici pour voir meeting room 3,6
How do I get to warehouse?,12
Where can I find Plant Manager Office,18
How should I be customer service block,9
Please take me to Restaurant,13
Help me reach Block A,9
Where can I find block a,9
Show me the way to block operational svp,10
I am here to visit Stock / Warehouse Area,12
Où se trouve Main Corridor ?,1
Where can I find Main Corridor,1
Help me reach Maintenance Supervisor Office,25
How do I get to plant manager ibiro,18
Ni hehe habarirwa toilet?,8
Ni hehe habarirwa bureau finance?,5
Where can I find canteen,13
Je voudrais aller au Finance Office 201,5
Where can I find restaurant,13
How should I be admin corridor,3
I want to go to the stock area,12
I have a session at secretary to the plant chief,19
How should I be md office,15
Comment aller au ? bathroom,14
How should I be warehouse,12
How should I be Toilets,14
Where can I find restroom,8
I have a session at warehouse,12
Ndashaka guhura n'umuyobozi wa sales office,17
How should I be Stock Office,22
I want to go to the Secretary to the Plant Manager,19
s'il warehouse vous plaît,12
Mfite inama muri main corridor,1
Pouvez-vous m'indiquer manager office ?,18
Ni hehe habarirwa plant manager secretary? murakoze,19
How should I be lounge,2
Where can I find storage room b,7
How should I be maintenance supervisor office,25
Can you direct me to director office?,15
Where can I find Managing Director Office,15
Where can I find Managing Director Office,15
Montrez-moi le chemin vers commercial office,17
Where can I find finance office,5
J'ai rendez-vous au Stock / Warehouse Area,12
Where can I find general office,24
Emmenez-moi au md office,15
How should I be clinic,23
Mushobora kunyereka commercial ibiro,17
Je cherche conference room,6
Where can I find Chief of Maintenance Office,20
Where can I find inventory office,22
Where can I find administrative block,9
Where can I find Reception,0
How should I be corridor b,3
I have a meeting at Reception,0
How should I be lounge,2
Je suis ici pour voir finance office,5
Ndashaka guhura n'umuyobozi wa Main Corridor,1
How should I be Reception,0
Mushobora kunyereka toilet?,14
Nereke yerekeza inzira kuri ubuyobozi bwa hr,4
How should I be board room,6
How should I be main corridor,1
Where can I find commercial office,17
How should I be director plant office,16
How should I be Stock / Warehouse Area,12
Where can I find Waiting Area,2
Mfite inama muri conference room,6
finance office iri he?,5
Je dois rencontrer board room,6
Montrez-moi le chemin vers director office,15
How should I be inventory office,22
Maintenance Coordinator Office,21
Please me take to HR Office 104,4
Where can I find maintenance chief office,20
le Montrez-moi chemin vers Block B,10
Pouvez-vous m'indiquer block b ?,10
Can you direct me to room? medical,23
How should I be ubuyobozi bwa hr,4
kujya Ndashaka kuri stock warehouse area,12
How should I be support offices block,10
Where can I find Meeting Room 3,6
stock office please,22
How should I be Sales Office,17
Je cherche restaurant,13
Can you direct me to maintenance coordinator office? murakoze,21
Emmenez-moi au lounge,2
How should I be Meeting Room 3,6
How should I be First Aid Office,23
Where can I find plant manager office,18
Where can I find support offices block,10
Storage room B please,7
Where can I find toilet,14
Where can I find general office,24
Où se trouve Toilets ?,14
How should I be sales office,17
Where can I find restaurant,13
inventory office iri he?,22
Montrez-moi le chemin vers corridor main,1
Ndashaka kubona finance bureau svp,5
Comment aller au Storage Room B ?,7
Where can I find industrial operations,11
How should I be Bathroom,8
How should I be Meeting Room 3,6
I need directions to commercial office,17
Pouvez-vous m'indiquer md bureau ?,15
How do I get to Finance Office 201? svp,5
I directions need to Bathroom,8
Montrez-moi le chemin vers plant director office,16
Can you direct me to plant manager secretary?,19
Where can I find restroom,8
How should I be administrative block,9
bathroom thanks,8
I want to go to the Admin Corridor,3
Where can I find human resource office,4
Where can I find Stock Office,22
Finance bureau 201,5
Please take to me warehouse,12
Pouvez-vous m'indiquer Bathroom ?,8
Where can I find meeting room 3,6
I am looking for Maintenance Coordinator Office,21
How should I be Plant Manager Office,18
How should I be corridor a,1
How should I be hr office,4
Où trouve se Maintenance Coordinator ibiro ?,21
Where can I find support offices block,10
Ni hehe habarirwa Managing Director office,15
How should I be operational block,10
Où se trouve human resource office ?,4
Where can I find human resource office,4
How should I be Bathroom,8
Where can I find front desk,0
How should I be Plant Director Office,16
I am looking for administrative block,9
Ni hehe habarirwa chief of maintenance office?,20
Where can I find technical supervision,11
How should I be bathroom,8
Where can I find storage room b,7
Pouvez-vous m'indiquer B Block ?,10
Je dois rencontrer hr office,4
Je suis ici pour voir Main Corridor,1
Where can I find medical room,23
I need directions to director plant office,16
How should I be restaurant,13
Nshaka gusura maintenance supervisor office svp,25
I here am to visit Block A,9
How should I be finance office,5
Où se trouve director plant office ?,16
Where can I find Secretary to the Plant Manager,19
How should I be lounge,2
How should I be Block A,9
Ndashaka guhura n'umuyobozi wa ibiro by imari,5
Chief of Maintenance office s'il vous plaît svp,20
inventory office s'il vous plaît,22
How should I be Chief of Maintenance Office,20
Ndashaka kujya kuri human resource office,4
Mushobora kunyereka finance ibiro,5
Je cherche first aid office,23
How should I be front desk,0
Ndashaka kujya kuri toilets,14
Where can I find clinic,23
Where can I find server room,7
finance office s'il vous plaît,5
aller Comment au server room ?,7
Nshaka gusura Maintenance Supervisor Office,25
How should I be board room,6
Nshaka gusura Plant Office Director,16
cafeteria s'il vous plaît,13
Where can I find Restaurant,13
Nereke inzira yerekeza kuri restaurant,13
How should I be industry area,11
Where can I find Block A,9
How should I be industrial operations,11
I have a meeting at first aid bureau,23
Where can I find sales office,17
How should I be First Aid Office,23
How should I be toilets,14
Emmenez-moi au Maintenance Coordinator office,21
How should I be cafeteria,13
Where can I find first aid office,23
Where can I find first aid office,23
hr manager s'il vous plaît svp,4
Ndashaka kubona main corridor thanks,1
Where can I find restroom,8
How do I get to Sales Office?,17
I need to find cafeteria murakoze,13
I need directions to chief maintenance office,20
commercial office,17
How should I be Waiting Area,2
Je voudrais aller au manager office,18
rendez-vous J'ai au Managing Director bureau murakoze,15
Block A please ngwino,9
Where can I find Block B,10
How should I be Block A,9
human resource ibiro iri he?,4
How should I be Managing Director Office,15
Please take me to Reception,0
How should I be administrative block,9
Show me the way to stock area svp,12
conference salle iri he?,6
Je voudrais aller au toilets,14
How should I be bureau finance,5
How should I be toilet,8
How should I be medical room,23
Pouvez-vous m'indiquer General Offices ?,24
Where can I find front desk,0
Where can I find maintenance supervisor office,25
Where can I find waiting area,2
Emmenez-moi au meeting room 3,6
J'ai rendez-vous industrial au operations svp,11
Where can I find maintenance coordinator office,21
I want to go to the maintenance coordination,21
Je dois rencontrer hr umuyobozi,4
Where is Waiting Area?,2
Ndashaka kuri kujya Plant Director office,16
am I looking for manager office,18
How should I be stock office,22
I need to find canteen,13
Pouvez-vous m'indiquer bathroom ?,8
I have a session at clinic,23
Je voudrais aller au Restaurant,13
How should I be supervisor office,25
How should I be finance manager,5
Ni hehe habarirwa board room?,6
I want to go to the director office,15
How should I be Waiting Area,2
How should I be plant manager office,18
Where can I find Waiting Area,2
Ndashaka kubona room conference,6
Where can I find Storage Room B,7
Help me reach md bureau,15
Where can I find Toilets,14
Where can I find secretary to the plant manager,19
Where can I find industrial operations,11
Show me the way to bathroom,8
Mfite inama muri Maintenance Supervisor Office,25
I need directions to block a,9
Where can I find conference room,6
How should I be hr manager,4
Where can I find clinic,23
Where can I find first aid office,23
How should I be maintenance supervisor office,25
Nereke inzira yerekeza kuri ubuyobozi bwa hr,4
Where can I find director plant office,16
Where can I find bureau finance,5
How should I be Reception,0
Where can I find warehouse,12
Where can I find server room,7
s'il clinic vous plaît,23
Où se trouve plant manager secretary ?,19
Where can I find hr manager,4
medical salle iri he?,23
Emmenez-moi au maintenance chief office,20
kunyereka Mushobora finance office?,5
Where can I find General Offices,24
Where can I find main corridor,1
Where can I find First Aid Office,23
Please take me to General Offices,24
I am looking for HR ibiro 104,4
Ni hehe habarirwa director plant office?,16
Where can I find admin corridor,3
Where can I find stock office,22
Where can I find hr office,4
Maintenance Coordinator Office s'il vous plaît,21
Help me reach restroom svp,14
How should I be reception desk,0
I have a meeting at restaurant,13
Je voudrais aller au Sales Office,17
How should I be block a,9
Where can I find Maintenance Supervisor Office,25
hr office please,4
I want to go to the human resource office,4
Emmenez-moi au warehouse,12
Comment aller au conference room ?,6
How should I be clinic,23
Pouvez-vous m'indiquer ressources humaines ?,4
Ni hehe habarirwa Main Corridor?,1
Njyanye kuri plant secretary manager murakoze,19
Mfite inama muri ibiro by imari,5
How should I be Waiting Area,2
Where can I find block a,9
How should I be Plant Manager Office,18
I have a meeting at block a,9
How should I be general offices,24
Où se trouve Storage Room B ? thanks,7
rendez-vous J'ai au canteen,13
Je dois rencontrer server room,7
Where can I find meeting room 3,6
How should I be restroom,8
Where can I find clinic,23
I want to go to the industrial operations,11
Where can I find bathroom,14
How should I be clinic,23
Where can I find stock warehouse area,12
How should I be plant director office,16
Where can I find ressources humaines,4
Where can I find bathroom,14
I here am to visit first aid office,23
Je cherche main corridor,1
Please take me to warehouse,12
Pouvez-vous m'indiquer conference salle ?,6
How should I be Stock / Warehouse Area,12
Where can I find main corridor,1
J'ai rendez-vous au inventory bureau,22
I need directions to manager office,18
I am looking for HR Office 104,4
How should I be director office,15
Where can I find stock office,22
Where can I find general office,24
How should I be maintenance coordinator office,21
