question,answer,language,source,topic
hi,Hi! I can help you find offices and common areas on this site.,en,bootstrap,greeting
hello,Hi! I can help you find offices and common areas on this site.,en,bootstrap,greeting
hey there,Hi! I can help you find offices and common areas on this site.,en,bootstrap,greeting
good morning,Hi! I can help you find offices and common areas on this site.,en,bootstrap,greeting
good afternoon,Hi! I can help you find offices and common areas on this site.,en,bootstrap,greeting
how are you,Hi! I can help you find offices and common areas on this site.,en,bootstrap,greeting
muraho,Hi! I can help you find offices and common areas on this site.,rw,bootstrap,greeting
mwiriwe,Hi! I can help you find offices and common areas on this site.,rw,bootstrap,greeting
mwaramutse,Hi! I can help you find offices and common areas on this site.,rw,bootstrap,greeting
bonjour,Hi! I can help you find offices and common areas on this site.,fr,bootstrap,greeting
salut,Hi! I can help you find offices and common areas on this site.,fr,bootstrap,greeting
thank you,You're welcome. Let me know if you need anything else.,en,bootstrap,thanks
thanks,You're welcome. Let me know if you need anything else.,en,bootstrap,thanks
thanks a lot,You're welcome. Let me know if you need anything else.,en,bootstrap,thanks
appreciate it,You're welcome. Let me know if you need anything else.,en,bootstrap,thanks
murakoze,You're welcome. Let me know if you need anything else.,rw,bootstrap,thanks
murakoze cyane,You're welcome. Let me know if you need anything else.,rw,bootstrap,thanks
merci,You're welcome. Let me know if you need anything else.,fr,bootstrap,thanks
merci beaucoup,You're welcome. Let me know if you need anything else.,fr,bootstrap,thanks
bye,Goodbye. Have a great day.,en,bootstrap,goodbye
goodbye,Goodbye. Have a great day.,en,bootstrap,goodbye
see you later,Goodbye. Have a great day.,en,bootstrap,goodbye
murabeho,Goodbye. Have a great day.,rw,bootstrap,goodbye
au revoir,Goodbye. Have a great day.,fr,bootstrap,goodbye
where is the toilet,The toilets are signposted from the main corridor — the receptionist can point you to the closest one.,en,bootstrap,toilet
where is the bathroom,The toilets are signposted from the main corridor — the receptionist can point you to the closest one.,en,bootstrap,toilet
where is the restroom,The toilets are signposted from the main corridor — the receptionist can point you to the closest one.,en,bootstrap,toilet
where can i find the toilet,The toilets are signposted from the main corridor — the receptionist can point you to the closest one.,en,bootstrap,toilet
i need the bathroom,The toilets are signposted from the main corridor — the receptionist can point you to the closest one.,en,bootstrap,toilet
where are the toilets,The toilets are signposted from the main corridor — the receptionist can point you to the closest one.,en,bootstrap,toilet
ndashaka ubwiherero,The toilets are signposted from the main corridor — the receptionist can point you to the closest one.,rw,bootstrap,toilet
ubwiherero buri he,The toilets are signposted from the main corridor — the receptionist can point you to the closest one.,rw,bootstrap,toilet
ou sont les toilettes,The toilets are signposted from the main corridor — the receptionist can point you to the closest one.,fr,bootstrap,toilet
where is reception,Reception is at the main entrance — follow the signs from the gate.,en,bootstrap,reception
where is the reception desk,Reception is at the main entrance — follow the signs from the gate.,en,bootstrap,reception
how do i find reception,Reception is at the main entrance — follow the signs from the gate.,en,bootstrap,reception
take me to reception,Reception is at the main entrance — follow the signs from the gate.,en,bootstrap,reception
where do i check in,Reception is at the main entrance — follow the signs from the gate.,en,bootstrap,reception
ou est la reception,Reception is at the main entrance — follow the signs from the gate.,fr,bootstrap,reception
reception iri he,Reception is at the main entrance — follow the signs from the gate.,rw,bootstrap,reception
